as_of,close,high_252,dd,state,changed,rule,fingerprint,t4_votes,t4_rv,t4_w
2026-08-28,716.43,745.34,-3.88,QLD,0,-16/-16,16201b974d4e383b,3,36.7,1.0
2026-08-31,716.76,745.34,-3.83,QLD,0,-16/-16,16201b974d4e383b,3,34.9,1.0
2026-09-01,707.64,745.34,-5.06,QLD,0,-16/-16,16201b974d4e383b,3,26.3,1.0
2026-09-02,709.24,745.34,-4.84,QLD,0,-16/-16,16201b974d4e383b,2,25.7,1.0
2026-09-03,717.67,745.34,-3.71,QLD,0,-16/-16,16201b974d4e383b,3,27.1,1.0
2026-09-04,718.96,745.34,-3.54,QLD,0,-16/-16,16201b974d4e383b,4,25.7,1.0
