test시작,test종료,선택복귀선,wfa수익,A수익,B수익,wfa>A,B>A
1977-02-03,1978-02-02,-16.0,7.549357956593439,7.549357956593439,7.549357956593439,False,False
1978-02-03,1979-02-01,-16.0,32.421072855607605,26.403349415876075,32.421072855607605,True,True
1979-02-02,1980-01-31,-16.0,58.087872381122786,58.087872381122786,58.087872381122786,False,False
1980-02-01,1981-01-30,-16.0,41.615983159793956,27.251277013638564,41.615983159793956,True,True
1981-02-02,1982-01-29,-14.000000000000002,-20.313704702657265,-25.882256896823474,-21.22368234733961,True,True
1982-02-01,1983-01-27,-14.000000000000002,93.99524133199778,84.40347285594696,87.34873177478906,True,True
1983-01-28,1984-01-26,-15.0,12.811797323523777,22.601346430692047,18.572023236636316,False,False
1984-01-27,1985-01-24,-15.0,17.250970040389046,13.536639501381975,18.777918746996058,True,True
1985-01-25,1986-01-24,-9.0,36.50793342277589,36.50793342277589,36.50793342277589,False,False
1986-01-27,1987-01-23,-9.0,27.03763313826222,32.493670967183654,45.70017888514188,False,True
1987-01-26,1988-01-22,-16.0,-19.164579438915474,-19.164579438915474,-19.164579438915474,False,False
1988-01-25,1989-01-20,-16.0,-16.004813237490158,-8.099940521037274,-16.004813237490158,False,False
1989-01-23,1990-01-19,-15.0,33.471918308476575,33.471918308476575,33.471918308476575,False,False
1990-01-22,1991-01-18,-10.0,-25.296724464309207,-24.26580060348318,-22.585387018117665,False,True
1991-01-21,1992-01-17,-15.0,147.04182891727407,135.33561769310754,153.9480844791088,True,True
1992-01-20,1993-01-15,-15.0,-13.724622372802376,-21.93477458885549,-8.739611904297295,True,True
1993-01-18,1994-01-13,-10.0,8.893862077285286,8.893862077285286,8.893862077285286,False,False
1994-01-14,1995-01-13,-16.0,-4.7442456834301705,-4.7442456834301705,-4.7442456834301705,False,False
1995-01-16,1996-01-12,-15.0,66.13956661511537,66.13956661511537,66.13956661511537,False,False
1996-01-15,1997-01-10,-8.0,126.12713841171619,126.12713841171619,126.12713841171619,False,False
1997-01-13,1998-01-09,-8.0,8.698299510956975,8.698299510956975,3.2222023949166845,False,False
1998-01-12,1999-01-11,-16.0,163.82807919932253,118.07964251742851,163.56425112012357,True,True
1999-01-12,2000-01-11,-16.0,158.79761103464327,158.79761103464327,158.79761103464327,False,False
2000-01-12,2001-01-10,-16.0,-10.382541328222128,17.10671298330446,-10.382541328222128,False,False
2001-01-11,2002-01-16,-11.0,2.0200530386322413,2.0200530386322413,2.0200530386322413,False,False
2002-01-17,2003-01-16,-11.0,2.0200530386322413,2.0200530386322413,2.0200530386322413,False,False
2003-01-17,2004-01-16,-12.0,79.97259514572248,79.97259514572248,80.07090127379257,False,True
2004-01-20,2005-01-18,-12.0,-3.4825412153241198,-3.4825412153241198,-3.4825412153241198,False,False
2005-01-19,2006-01-18,-12.0,13.713829177447256,13.713829177447256,13.713829177447256,False,False
2006-01-19,2007-01-19,-16.0,-3.136486741205924,-10.774398981750377,-3.136486741205924,True,True
2007-01-22,2008-01-18,-16.0,-0.8690804616332981,-0.8690804616332981,-0.8690804616332981,False,False
2008-01-22,2009-01-20,-16.0,-9.2796598079531,-13.251747569262696,-9.2796598079531,True,True
2009-01-21,2010-01-20,-16.0,33.566724269821414,37.42327726028903,33.566724269821414,False,False
2010-01-21,2011-01-19,-16.0,46.649272598437385,46.649272598437385,46.649272598437385,False,False
2011-01-20,2012-01-20,-7.000000000000001,-15.040752761894582,-5.379886279461976,5.49500993004628,False,True
2012-01-23,2013-01-23,-16.0,26.66554520540274,26.66554520540274,26.66554520540274,False,False
2013-01-24,2014-01-23,-16.0,71.1484934842155,71.1484934842155,71.1484934842155,False,False
2014-01-24,2015-01-23,-16.0,38.569825827457315,38.569825827457315,38.569825827457315,False,False
2015-01-26,2016-01-25,-16.0,-6.443544322699923,-6.443544322699923,-6.443544322699923,False,False
2016-01-26,2017-01-24,-16.0,43.267720332664325,31.891906128558677,43.267720332664325,True,True
2017-01-25,2018-01-24,-16.0,81.32802902975416,81.32802902975416,81.32802902975416,False,False
2018-01-25,2019-01-25,-16.0,-10.966736486726713,-16.841123704975015,-10.966736486726713,True,True
2019-01-28,2020-01-27,-16.0,67.28759971361016,66.97911149253962,67.28759971361016,True,True
2020-01-28,2021-01-26,-16.0,88.88442341952998,82.47771157957095,88.88442341952998,True,True
2021-01-27,2022-01-25,-16.0,5.686040849798801,5.686040849798801,5.686040849798801,False,False
2022-01-26,2023-01-26,-16.0,-13.994664021082615,-13.606365347473881,-13.994664021082615,False,False
2023-01-27,2024-01-29,-16.0,56.237934942594215,63.14920768347216,56.237934942594215,False,False
2024-01-30,2025-01-30,-7.000000000000001,36.58288423809617,36.58288423809617,36.58288423809617,False,False
2025-01-31,2026-02-05,-7.000000000000001,-5.620502525572912,1.8340621874029628,2.710913516497171,False,True
