family,name,params,final,cagr,mdd,calmar,sharpe,sortino,chg,turn_yr,schd_share,qld1,qqq1,ex1,qld3,qqq3,ex3,qld5,qqq5,ex5,qld10,qqq10,ex10,qld15,qqq15,ex15,c_닷컴 2000-2002,c_GFC 2007-2009,c_GFC반등 2009-2010,c_코로나 2020,c_2022 베어,c_2023-현재,cost5,cost10,cost20,cost30,cost50
BASE,기존 -16/-11,exit=-0.11,138.4777816676773,20.332872428212845,-46.62278130284805,0.43611453156636903,0.7170068927503663,0.8523392794434037,22,0.8258478931140801,22.804659498207887,40.96198603568658,66.40806826997672,-4.440892098500626e-14,36.784511784511785,88.38383838383838,-3.440244321082553,43.93382352941176,92.27941176470588,-0.5867648895874655,53.4688995215311,100.0,1.1566109924959878,58.9041095890411,100.0,0.2856205273429113,2.1472744414668954,-33.93587415833061,86.88509692758129,-18.277131602691853,-37.51517079032002,205.57067147798688,140.01060195728195,138.4777816676773,135.46006046716462,132.50517489551245,126.77894493506618
A,A exit -4.0%,exit=-0.04,71.6364244486012,17.392139889268666,-46.62278130284802,0.3730395185198066,0.6520948834773794,0.7601145842667011,18,0.675693730729702,26.38888888888889,43.13421256788208,63.30488750969744,-6.661338147750939e-14,36.95286195286195,79.04040404040404,-7.069090745163898,41.911764705882355,83.54779411764706,-1.7778143568577875,24.880382775119617,94.377990430622,-2.5084839471067544,26.71232876712329,100.0,-2.95955630420498,2.1472744414668954,-22.30545937856987,67.26170558963665,-21.541090307189304,-28.914346408824564,160.88587628127408,72.28455056613988,71.6364244486012,70.35660197718265,69.09839543553738,66.64545945792294
A,A exit -4.5%,exit=-0.045,81.18544339972493,17.944861214159236,-46.622781302848026,0.38489469552652034,0.6660526678125408,0.7765938639141274,18,0.675693730729702,26.17980884109916,47.01318851823119,64.08068269976727,-2.220446049250313e-14,41.245791245791246,80.72390572390572,-6.676277838205347,41.81985294117647,86.30514705882352,-1.3963910942181412,42.58373205741627,96.29186602870813,-1.7882127906848955,29.10958904109589,100.0,-2.453413743521682,2.1472744414668954,-22.30545937856987,67.52427980826468,-21.541090307189346,-28.91434640882452,167.15384064784834,81.919963675357,81.18544339972493,79.73502267291178,78.30909924417834,75.52919088740914
A,A exit -5.0%,exit=-0.05,88.73364634933054,18.33913563352796,-46.62278130284805,0.39335138576144263,0.6744631372965665,0.7886850954122352,18,0.675693730729702,25.776583034647548,37.85880527540729,65.166795965865,-8.881784197001252e-14,35.94276094276094,82.82828282828282,-6.298814252642471,48.80514705882353,87.13235294117648,-0.9155870997369586,43.66028708133971,96.17224880382776,-1.5523703400412092,30.65068493150685,100.0,-2.205032720600464,2.1472744414668954,-22.30545937856987,67.52427980826468,-21.54109030718937,-28.914346408824677,178.08818251609085,89.53645852408802,88.73364634933054,87.14837299931528,85.58987457954989,82.55150471072211
A,A exit -5.5%,exit=-0.055,92.94659145568505,18.545374213182075,-46.62278130284804,0.3977749438137702,0.6795167076213154,0.7953758640734071,18,0.675693730729702,25.657108721624848,38.712179984484095,65.47711404189293,-6.661338147750939e-14,40.82491582491583,83.16498316498317,-6.162506182841732,49.356617647058826,88.87867647058823,-0.5289184460201546,44.97607655502392,97.00956937799043,-1.12258680768198,31.335616438356162,100.0,-1.8459969137092025,2.1472744414668954,-22.305459378569957,70.65319915641253,-21.541090307189346,-28.914346408824553,178.0881825160912,93.78751999060634,92.94659145568505,91.28605162134237,89.65355795218844,86.47093067935667
A,A exit -6.0%,exit=-0.06,101.15417409182552,18.922537153431197,-46.62278130284805,0.40586461435056587,0.6889479717420204,0.8067147535182295,18,0.675693730729702,25.52270011947431,39.332816136539954,65.55469356089992,-8.881784197001252e-14,36.27946127946128,84.006734006734,-5.664641959938333,49.54044117647059,89.70588235294117,-0.31424935105149876,45.69377990430622,98.32535885167464,-0.6716254387242548,32.36301369863014,100.0,-1.453359606204141,2.1472744414668954,-22.305459378570024,70.65319915641268,-21.541090307189382,-28.914346408824564,187.76508130852517,102.06936022278585,101.15417409182552,99.34700146872339,97.5703516074726,94.1066846974397
A,A exit -6.5%,exit=-0.065,104.8968590558245,19.084839193416947,-46.62278130284804,0.40934578890622975,0.6927797001528326,0.812232761681395,18,0.675693730729702,25.298685782556753,35.376260667183864,66.0977501939488,-8.881784197001252e-14,40.82491582491583,84.34343434343434,-5.451229873153007,50.0,91.08455882352942,-0.06423891107524282,46.65071770334928,98.80382775119617,-0.4425706334418966,33.04794520547945,100.0,-1.237494052847632,2.1472744414668954,-22.305459378569935,73.48646603856244,-21.54109030718937,-28.914346408824553,187.76508130852486,105.84590689741054,104.8968590558245,103.02282139364114,101.18043582962142,97.58861391085149
A,A exit -7.0%,exit=-0.07,111.0867875558594,19.341414584850792,-46.622781302848026,0.4148490082394396,0.6991608277059962,0.8200488482146198,18,0.675693730729702,25.149342891278376,36.92785104732351,66.64080682699766,-1.1102230246251565e-13,36.868686868686865,84.59595959595958,-4.718741345441114,53.49264705882353,92.64705882352942,0.3317553157481279,48.20574162679426,99.52153110047847,-0.02432796475457799,34.24657534246575,100.0,-0.8138026044222202,2.1472744414668954,-22.30545937856998,76.95628381120683,-21.541090307189357,-28.914346408824578,188.71456677301111,112.09183839253438,111.0867875558594,109.1021635592562,107.15105944051888,103.34728531400849
A,A exit -7.5%,exit=-0.075,123.89385692737508,19.83123462182408,-46.62278130284806,0.42535503176024897,0.711109390948435,0.833803854151846,18,0.675693730729702,24.850657108721624,42.668735453840185,67.10628394103956,-6.661338147750939e-14,42.17171717171717,85.77441077441077,-4.480162644082986,54.04411764705882,93.10661764705883,0.9384170154578375,52.39234449760766,99.76076555023924,0.5908344655115028,45.034246575342465,100.0,-0.36493642582238195,2.1472744414668954,-22.305459378569914,76.956283811207,-19.802093003001275,-28.914346408824578,184.82565278986573,125.01477893172347,123.89385692737508,121.6804278877935,119.50438319466927,115.26207627606279
A,A exit -8.0%,exit=-0.08,82.51183941170993,18.01663399145763,-48.797962447296115,0.36920873511709357,0.6628524187356666,0.780122758636745,22,0.8258478931140801,24.0442054958184,34.057408844065165,63.53762606671839,-8.881784197001252e-14,35.01683501683502,78.61952861952862,-5.318178944623764,36.12132352941176,80.14705882352942,-3.243658862848975,26.076555023923444,95.57416267942584,-1.8668087503625364,26.71232876712329,100.0,-2.1840409889875345,2.1472744414668954,-37.13512243633702,76.95628381120683,-19.802093003001232,-40.2610453288077,184.8256527898658,83.42516875638745,82.51183941170993,80.71373343335507,78.95306799784638,75.5410999460711
