train_start,train_end,test_start,test_end,qld_ret,-16/-16_ret,-16/-16_cagr,-16/-16_beat,-16/-15_ret,-16/-15_cagr,-16/-15_beat,-16/-11_ret,-16/-11_cagr,-16/-11_beat
1972-01-01,1976-12-31,1977-01-01,1977-12-31,9.058757695922193,9.058757695922171,9.170152846067325,False,9.058757695922104,9.170152846067259,False,9.058757695922104,9.170152846067259,False
1973-01-01,1977-12-31,1978-01-01,1978-12-31,21.765978080926374,18.38781662820017,18.623311540362675,False,20.92524188308589,21.1960386326409,False,20.925241883085665,21.19603863264068,False
1974-01-01,1978-12-31,1979-01-01,1979-12-31,59.68864806757597,56.22816857300494,56.46770912365226,False,52.296768088413124,52.51693149599137,False,41.30783824109532,41.47572667552546,False
1975-01-01,1979-12-31,1980-01-01,1980-12-31,68.02099295422283,56.62767702388021,56.67582075387958,False,51.191399180535946,51.23421274478106,False,43.960278393404195,43.99621055367635,False
1976-01-01,1980-12-31,1981-01-01,1981-12-31,-6.016854632059621,-11.155674115583558,-11.191755064013497,False,-15.224322853332062,-15.2723919087284,False,-20.915189722831972,-20.978890703391194,False
1977-01-01,1981-12-31,1982-01-01,1982-12-31,39.1572394079319,34.63153653923949,34.769091591544445,False,33.86529447271145,33.99944016542311,False,44.07502089970778,44.255803885511845,True
1978-01-01,1982-12-31,1983-01-01,1983-12-31,46.582135642992164,42.58755893267732,43.18437050052781,False,38.57156636165531,39.10477393177847,False,44.63314846461917,45.262879921622144,False
1979-01-01,1983-12-31,1984-01-01,1984-12-31,-19.923542641890524,-6.061395344399834,-6.081564416452667,True,-9.816015364542253,-9.848007142681325,True,-8.035659333763256,-8.062110841822157,True
1980-01-01,1984-12-31,1985-01-01,1985-12-31,76.33559089765683,76.33559089765684,76.67940385138519,True,76.33559089765663,76.67940385138496,False,76.33559089765663,76.67940385138496,False
1981-01-01,1985-12-31,1986-01-01,1986-12-31,9.823116829784762,3.3389079024603197,3.359947477035141,False,-1.2116003564010325,-1.2190643140146618,False,-6.027445937940589,-6.063649902150569,False
1982-01-01,1986-12-31,1987-01-01,1987-12-31,2.195634958366921,9.353974412642675,9.41460126707776,True,9.353974412642607,9.414601267077693,True,9.353974412642675,9.41460126707776,True
1983-01-01,1987-12-31,1988-01-01,1988-12-31,13.063472323823522,-18.37877524785927,-18.573685529033877,False,-5.719334295869571,-5.784681230001021,False,-10.69689175234596,-10.815756163290779,False
1984-01-01,1988-12-31,1989-01-01,1989-12-31,56.12579442994714,56.12579442994736,57.143407705480584,True,56.12579442994725,57.14340770548048,True,56.12579442994716,57.143407705480385,True
1985-01-01,1989-12-31,1990-01-01,1990-12-31,-28.419853075471867,-33.36951659427001,-33.5369866247547,False,-27.459070092381076,-27.603267701264013,True,-33.50362937705855,-33.671590674528254,False
1986-01-01,1990-12-31,1991-01-01,1991-12-31,154.01192347489933,132.6884901407272,133.9097365154527,False,132.68849014072694,133.9097365154524,False,111.37965096756321,112.3625985294773,False
1987-01-01,1991-12-31,1992-01-01,1992-12-31,8.634287903769899,-9.363176100810344,-9.39377008071406,False,-14.314049490806124,-14.359493747637043,False,-22.467595395971884,-22.5353199128825,False
1988-01-01,1992-12-31,1993-01-01,1993-12-31,17.370978619152154,17.370978619151998,17.592508225087023,False,17.370978619152112,17.592508225087133,False,17.370978619151956,17.592508225086977,False
1989-01-01,1993-12-31,1994-01-01,1994-12-31,-1.6495040752994683,-1.6495040752993462,-1.6687605096099012,True,-1.6495040752993795,-1.6687605096099345,True,-1.6495040752994794,-1.6687605096100344,False
1990-01-01,1994-12-31,1995-01-01,1995-12-31,93.07286225473557,93.07286225473548,94.9341833289965,False,93.07286225473561,94.93418332899664,True,93.07286225473554,94.93418332899657,False
1991-01-01,1995-12-31,1996-01-01,1996-12-31,80.59506113586265,80.59506113586268,80.96201108553494,True,80.59506113586268,80.96201108553494,True,80.59506113586221,80.96201108553447,False
1992-01-01,1996-12-31,1997-01-01,1997-12-31,32.66667607839191,24.88327496377549,25.055399011388467,False,24.883274963775293,25.055399011388246,False,22.03063806305088,22.181329410990557,False
1993-01-01,1997-12-31,1998-01-01,1998-12-31,188.62944733470815,99.72424767322335,100.5824669023092,False,83.73687664973653,84.4309953397844,False,84.30946490062293,85.00931479496188,False
1994-01-01,1998-12-31,1999-01-01,1999-12-31,233.41478606142948,233.4147860614299,238.17529664008498,True,233.41478606142965,238.17529664008467,True,233.41478606142928,238.1752966400843,False
