전략,0.05%,0.10%,0.20%,0.30%,0.50%,지연2일,지연3일,지연5일
기존 -16/-11 (기준),140.01060195728195,138.4777816676773,135.46006046716462,132.50517489551245,126.77894493506618,102.50287910289532,91.85298741867777,89.69657921709452
무히스테리시스 (복귀 -16%),155.25965093156333,151.27197377459746,143.59563309996818,136.30171426969403,122.78725332434534,106.5464849736371,115.64754333798952,73.1411724211973
CD(10) 쿨다운 10일,184.91774617162386,181.79839457693802,175.71217227462483,169.8239064271166,158.616436749687,154.17260942349674,125.41827634041545,102.24348548518819
CD(13) 쿨다운 13일,187.67062449850857,184.5048349843876,178.3280068326328,172.3520821218187,160.9777663681563,164.25589337545014,130.50340304009538,92.84827169422186
V(5%p) 저점대비 5%p,158.14297328235642,155.31976743600424,149.81960296041038,144.508986339422,134.43119595320624,129.36204838227468,107.57848593850748,78.32378385895865
V(8%p) 저점대비 8%p,146.75713621418458,144.425972690306,139.870780754143,135.4549074498607,127.02472453420624,127.39255804282537,117.26718249587205,92.40267419419283
"S(3%p,50%) 부분복귀",141.93681228644058,139.47332226183417,134.67154380181745,130.03208102060256,121.21873487285633,106.03168503069637,105.8074651418814,82.80920666462619
