전략,닷컴 2000-2002,GFC 2007-2009,GFC반등 2009-2010,코로나 2020,2022 베어,2023-현재
기존 -16/-11 (기준),2.1472744414668954,-33.93587415833061,86.88509692758129,-18.277131602691853,-37.51517079032002,205.57067147798688
무히스테리시스 (복귀 -16%),-21.830520925959362,-30.9108852004627,81.64048121328157,-15.40787779616256,-37.79601065080712,195.1458718678042
CD(10) 쿨다운 10일,-5.3994080558453454,-30.910885200462758,81.64048121328138,-11.410156898174284,-31.356041781920972,229.64770696379668
CD(13) 쿨다운 13일,-5.3994080558453454,-30.910885200462634,81.64048121328149,-11.410156898174328,-31.35604178192094,232.27029526040894
V(5%p) 저점대비 5%p,-5.3994080558453454,-32.80218419881686,81.64048121328125,-11.410156898174273,-31.356041781921018,199.5204709476167
V(8%p) 저점대비 8%p,-5.3994080558453454,-27.050831535026965,81.64048121328152,-11.410156898174229,-34.889240514131274,176.93413450804672
"S(3%p,50%) 부분복귀",-10.426403904486136,-32.325908521089296,84.30368413628486,-16.791276829412993,-36.255455750983415,200.73629305368414
