Date,Open,High,Low,Close
1994-05-04,120.45500183105469,121.34500122070312,118.93499755859375,119.0250015258789
1994-05-05,119.0250015258789,120.1050033569336,118.03500366210938,118.2699966430664
1994-05-06,118.2699966430664,118.2699966430664,115.48999786376953,117.69499969482422
1994-05-09,117.69499969482422,118.36000061035156,115.5199966430664,115.61000061035156
1994-05-10,115.61000061035156,117.7750015258789,115.61000061035156,117.44000244140625
1994-05-11,117.44000244140625,118.5199966430664,115.05000305175781,115.34500122070312
1994-05-12,115.34500122070312,117.23500061035156,114.73999786376953,114.91500091552734
1994-05-13,114.91500091552734,115.0199966430664,111.47000122070312,113.58499908447266
1994-05-16,113.58499908447266,113.61499786376953,111.17500305175781,111.23500061035156
1994-05-17,111.23500061035156,111.47000122070312,106.91999816894531,110.76000213623047
1994-05-18,110.76000213623047,116.83499908447266,110.76000213623047,115.71499633789062
1994-05-19,115.71499633789062,119.54000091552734,115.71499633789062,119.01000213623047
1994-05-20,119.01000213623047,119.06999969482422,117.68000030517578,118.61000061035156
1994-05-23,118.61000061035156,119.30500030517578,117.52999877929688,117.88500213623047
1994-05-24,117.88500213623047,119.67500305175781,117.82499694824219,119.0999984741211
1994-05-25,119.0999984741211,119.56999969482422,117.73999786376953,119.08499908447266
1994-05-26,119.08499908447266,119.86499786376953,117.44000244140625,117.91500091552734
1994-05-27,117.91500091552734,118.50499725341797,116.87999725341797,118.41999816894531
1994-05-31,118.41999816894531,121.93499755859375,117.47000122070312,121.7750015258789
1994-06-01,121.7750015258789,128.5,121.28500366210938,128.2449951171875
1994-06-02,128.2449951171875,129.77499389648438,128.05499267578125,128.30499267578125
1994-06-03,128.30499267578125,129.8699951171875,126.7249984741211,126.95999908447266
1994-06-06,126.95999908447266,127.90499877929688,126.04499816894531,126.25
1994-06-07,126.25,126.63500213623047,123.02999877929688,123.1449966430664
1994-06-08,123.1449966430664,123.20500183105469,116.16999816894531,117.70999908447266
1994-06-09,117.70999908447266,118.36000061035156,114.75,115.61000061035156
1994-06-10,115.61000061035156,119.36499786376953,115.61000061035156,118.83000183105469
1994-06-13,118.83000183105469,120.78500366210938,118.33000183105469,118.48999786376953
1994-06-14,118.48999786376953,122.46499633789062,118.48999786376953,121.76000213623047
1994-06-15,121.76000213623047,124.05500030517578,121.76000213623047,122.11499786376953
1994-06-16,122.11499786376953,122.81999969482422,121.375,121.83000183105469
1994-06-17,121.86000061035156,121.86000061035156,119.15499877929688,119.55500030517578
1994-06-20,119.55500030517578,119.55500030517578,116.97000122070312,117.19000244140625
1994-06-21,115.81500244140625,115.96499633789062,113.54000091552734,114.66500091552734
1994-06-22,114.66500091552734,118.50499725341797,114.66500091552734,117.8550033569336
1994-06-23,117.8550033569336,118.83000183105469,113.94000244140625,113.98500061035156
1994-06-24,113.98500061035156,116.0250015258789,112.71499633789062,114.17500305175781
1994-06-27,114.17500305175781,118.19499969482422,113.3949966430664,118.16500091552734
