Date,Open,Close
2002-07-30,81.75,35.69190216064453
2002-07-31,81.94999694824219,36.134117126464844
2002-08-01,82.54000091552734,36.33989334106445
2002-08-02,83.16000366210938,36.71202087402344
2002-08-05,84.04000091552734,36.874046325683594
2002-08-06,83.87000274658203,36.55879592895508
2002-08-07,83.5999984741211,36.64636993408203
2002-08-08,83.58000183105469,36.64636993408203
2002-08-09,84.0,37.16299819946289
2002-08-12,85.30000305175781,37.39066696166992
2002-08-13,85.77999877929688,37.85038757324219
2002-08-14,87.45999908447266,37.99486541748047
2002-08-15,86.37999725341797,37.662139892578125
2002-08-16,86.44000244140625,37.24179458618164
2002-08-19,85.05000305175781,37.35566711425781
2002-08-20,85.62000274658203,37.771583557128906
2002-08-21,85.68000030517578,37.570194244384766
2002-08-22,85.55000305175781,37.24179458618164
2002-08-23,85.19999694824219,37.609588623046875
2002-08-26,85.69999694824219,37.644622802734375
2002-08-27,85.4000015258789,37.4081916809082
2002-08-28,86.04000091552734,37.59646224975586
2002-08-29,86.76000213623047,37.89856719970703
2002-08-30,86.75,38.12624740600586
2002-09-03,87.08000183105469,38.71238708496094
2002-09-04,88.02999877929688,38.703548431396484
2002-09-05,88.56999969482422,38.914642333984375
2002-09-06,87.97000122070312,38.45736312866211
2002-09-09,87.5,38.40017318725586
2002-09-10,87.16999816894531,38.58488464355469
2002-09-11,87.0,38.382606506347656
2002-09-12,87.4800033569336,38.68159484863281
2002-09-13,88.33000183105469,39.03776550292969
2002-09-16,89.19999694824219,39.103763580322266
2002-09-17,88.63999938964844,39.1784553527832
2002-09-18,89.16000366210938,39.187252044677734
2002-09-19,89.69999694824219,39.451114654541016
2002-09-20,89.44999694824219,39.26646041870117
2002-09-23,90.0,39.61817932128906
2002-09-24,90.30000305175781,39.873226165771484
2002-09-25,90.0999984741211,39.389503479003906
2002-09-26,89.05000305175781,39.297176361083984
2002-09-27,89.52999877929688,39.59178924560547
2002-09-30,90.66000366210938,39.750083923339844
2002-10-01,89.16000366210938,39.25706481933594
2002-10-02,89.23999786376953,39.48216247558594
2002-10-03,89.30000305175781,39.38504409790039
2002-10-04,88.4000015258789,39.50864028930664
2002-10-07,89.9000015258789,39.574859619140625
2002-10-08,89.5,39.588069915771484
2002-10-09,90.30000305175781,39.791168212890625
2002-10-10,90.16999816894531,39.47777557373047
2002-10-11,89.0999984741211,39.00991439819336
2002-10-14,88.5,38.95249557495117
2002-10-15,87.0,38.030052185058594
2002-10-16,86.5999984741211,38.04762649536133
2002-10-17,85.13999938964844,37.58417510986328
2002-10-18,85.0199966430664,37.68130111694336
2002-10-21,85.5,37.31494140625
2002-10-22,84.8499984741211,37.20904541015625
2002-10-23,84.75,37.22224044799805
