Date,Close
2015-10-01,10048.318359375
2015-10-02,10095.0126953125
2015-10-05,10179.05859375
2015-10-06,10123.0283203125
2015-10-07,9898.9013671875
2015-10-08,9805.5166015625
2015-10-12,9782.169921875
2015-10-13,9730.8076171875
2015-10-14,9684.115234375
2015-10-15,9763.4931640625
2015-10-16,9908.2412109375
2015-10-19,9898.9013671875
2015-10-20,10038.98046875
2015-10-21,9954.93359375
2015-10-22,9791.509765625
2015-10-23,9894.2333984375
2015-10-26,10038.98046875
2015-10-27,9950.265625
2015-10-28,10137.0361328125
2015-10-29,10095.0126953125
2015-10-30,9940.9248046875
2015-11-02,9908.2412109375
2015-11-03,9978.2783203125
2015-11-04,10024.9736328125
2015-11-05,10179.05859375
2015-11-06,10225.7529296875
2015-11-09,9922.248046875
2015-11-10,9674.775390625
2015-11-11,9866.2177734375
2015-11-12,9973.611328125
2015-11-13,9950.265625
2015-11-16,9819.5244140625
2015-11-17,9992.2890625
2015-11-18,10038.98046875
2015-11-19,10151.0439453125
2015-11-20,10211.7451171875
2015-11-23,10225.7529296875
2015-11-24,10244.4326171875
2015-11-25,10239.759765625
2015-11-26,10337.814453125
2015-11-27,10286.4541015625
2015-11-30,10253.767578125
2015-12-01,10328.4775390625
2015-12-02,10314.46875
2015-12-03,10365.83203125
2015-12-04,10267.7763671875
2015-12-07,10160.3818359375
2015-12-08,9950.265625
2015-12-09,9884.8935546875
2015-12-10,9772.8310546875
2015-12-11,9618.7451171875
2015-12-14,9268.5458984375
2015-12-15,9459.990234375
2015-12-16,9544.03515625
2015-12-17,9674.775390625
2015-12-18,9889.564453125
2015-12-21,9870.8857421875
2015-12-22,9800.8447265625
2015-12-23,9740.1474609375
2015-12-24,9618.7451171875
2015-12-28,9768.162109375
2015-12-29,10099.6806640625
2015-12-30,10286.4541015625
2016-01-04,10216.4130859375
2016-01-05,10319.1376953125
2016-01-06,10412.5244140625
2016-01-07,10295.7919921875
2016-01-08,10319.1376953125
2016-01-11,10235.0908203125
2016-01-12,10183.73046875
2016-01-13,10403.1845703125
2016-01-14,10389.177734375
2016-01-15,10300.4599609375
2016-01-18,10477.892578125
2016-01-19,10510.5791015625
2016-01-20,10417.193359375
2016-01-21,10356.4921875
2016-01-22,10389.177734375
2016-01-25,10557.2705078125
2016-01-26,10566.611328125
2016-01-27,10417.193359375
2016-01-28,10491.9013671875
2016-01-29,10533.923828125
2016-02-01,10645.990234375
2016-02-02,10641.3193359375
2016-02-03,10622.6416015625
2016-02-04,10571.2802734375
2016-02-05,10519.91796875
2016-02-11,9964.2734375
2016-02-12,9198.5078125
2016-02-15,9352.595703125
2016-02-16,9572.052734375
2016-02-17,9305.900390625
2016-02-18,9572.052734375
2016-02-19,9674.775390625
2016-02-22,9791.509765625
2016-02-23,9656.099609375
2016-02-24,9623.4140625
2016-02-25,9665.4375
2016-02-26,9693.4521484375
2016-02-29,9749.4853515625
2016-03-02,9931.5869140625
2016-03-03,10132.3662109375
2016-03-04,10160.3818359375
2016-03-07,10043.6494140625
2016-03-08,10057.658203125
2016-03-09,10169.7216796875
2016-03-10,10179.05859375
2016-03-11,10155.7109375
2016-03-14,10183.73046875
2016-03-15,10104.3525390625
2016-03-16,10109.021484375
2016-03-17,10151.0439453125
2016-03-18,10225.7529296875
2016-03-21,10160.3818359375
2016-03-22,10146.375
2016-03-23,10123.0283203125
2016-03-24,10010.96484375
2016-03-25,9992.2890625
2016-03-28,9852.2109375
2016-03-29,9992.2890625
2016-03-30,9996.95703125
2016-03-31,10038.98046875
2016-04-01,10141.7041015625
2016-04-04,10244.4326171875
2016-04-05,10183.73046875
2016-04-06,10127.697265625
2016-04-07,10207.0751953125
2016-04-08,10127.697265625
2016-04-11,10057.658203125
2016-04-12,10010.96484375
2016-04-14,10001.6259765625
2016-04-15,9992.2890625
2016-04-18,9982.9482421875
2016-04-19,10071.666015625
2016-04-20,10085.6728515625
2016-04-21,10043.6494140625
2016-04-22,10038.98046875
2016-04-25,10071.666015625
2016-04-26,10043.6494140625
2016-04-27,9996.95703125
2016-04-28,9940.71484375
2016-04-29,9954.7744140625
2016-05-02,9776.6787109375
2016-05-03,9907.9072265625
2016-05-04,9832.91796875
2016-05-09,9837.6044921875
2016-05-10,9921.9677734375
2016-05-11,10001.64453125
2016-05-12,10020.3896484375
2016-05-13,10006.3310546875
2016-05-16,9959.4609375
2016-05-17,9832.91796875
2016-05-18,9659.5068359375
2016-05-19,9598.5791015625
2016-05-20,9711.0615234375
2016-05-23,9753.2431640625
2016-05-24,9743.869140625
2016-05-25,9795.4228515625
2016-05-26,9734.4951171875
2016-05-27,9757.9287109375
2016-05-30,9875.1005859375
2016-05-31,9959.4609375
2016-06-01,9940.71484375
2016-06-02,9959.4609375
2016-06-03,9912.59375
2016-06-07,9982.8974609375
2016-06-08,10048.513671875
2016-06-09,10025.0791015625
2016-06-10,10034.451171875
2016-06-13,9851.6650390625
2016-06-14,9823.546875
2016-06-15,9879.787109375
2016-06-16,9682.94140625
2016-06-17,9650.1328125
2016-06-20,9757.9287109375
2016-06-21,9762.6162109375
2016-06-22,9739.18359375
2016-06-23,9626.69921875
2016-06-24,9228.3212890625
2016-06-27,9242.3818359375
2016-06-28,9345.4921875
2016-06-29,9481.408203125
2016-06-30,9673.56640625
2016-07-01,9753.2431640625
2016-07-04,9795.4228515625
2016-07-05,9898.533203125
2016-07-06,9757.9287109375
2016-07-07,9889.1611328125
2016-07-08,9809.484375
2016-07-11,9893.845703125
2016-07-12,9865.7265625
2016-07-13,9875.1005859375
2016-07-14,9870.4130859375
2016-07-15,9818.8564453125
2016-07-18,9804.798828125
2016-07-19,9823.546875
2016-07-20,9879.787109375
2016-07-21,9940.71484375
2016-07-22,9940.71484375
2016-07-25,9884.4736328125
2016-07-26,9907.9072265625
2016-07-27,9818.8564453125
2016-07-28,9832.91796875
2016-07-29,9889.1611328125
2016-08-01,9800.1123046875
2016-08-02,9748.5576171875
2016-08-03,9706.375
2016-08-04,9743.869140625
2016-08-05,9636.072265625
2016-08-08,9668.8798828125
2016-08-09,9762.6162109375
2016-08-10,9907.9072265625
2016-08-11,9856.3515625
2016-08-12,9837.6044921875
2016-08-16,9809.484375
2016-08-17,9748.5576171875
2016-08-18,9795.4228515625
2016-08-19,9776.6787109375
2016-08-22,9650.1328125
2016-08-23,9636.072265625
2016-08-24,9650.1328125
2016-08-25,9593.8916015625
2016-08-26,9537.6513671875
2016-08-29,9336.1171875
2016-08-30,9364.23828125
2016-08-31,9331.4296875
2016-09-01,9467.349609375
2016-09-02,9528.2763671875
2016-09-05,9556.3955078125
2016-09-06,9490.783203125
2016-09-07,9434.5390625
2016-09-08,9476.7216796875
2016-09-09,9387.6708984375
2016-09-12,9209.5732421875
2016-09-13,9279.8759765625
2016-09-19,9345.4921875
2016-09-20,9457.97265625
2016-09-21,9472.03515625
2016-09-22,9556.3955078125
2016-09-23,9603.2646484375
2016-09-26,9565.771484375
2016-09-27,9626.69921875
2016-09-28,9528.2763671875
2016-09-29,9593.8916015625
2016-09-30,9453.2861328125
2016-10-04,9453.2861328125
2016-10-05,9429.8544921875
2016-10-06,9439.2275390625
2016-10-07,9284.5625
2016-10-10,9298.6220703125
2016-10-11,9209.5732421875
2016-10-12,9214.259765625
2016-10-13,9111.1513671875
2016-10-14,9106.46484375
2016-10-17,9059.5966796875
2016-10-18,9129.8974609375
2016-10-19,9153.33203125
2016-10-20,9087.716796875
2016-10-21,9031.4755859375
2016-10-24,8951.798828125
2016-10-25,8872.125
2016-10-26,8900.2431640625
2016-10-27,9101.775390625
2016-10-28,8961.1728515625
2016-10-31,8801.822265625
2016-11-01,8834.6298828125
2016-11-02,8633.09765625
2016-11-03,8675.2783203125
2016-11-04,8647.15625
2016-11-07,8815.880859375
2016-11-08,8820.5673828125
2016-11-09,8501.8662109375
2016-11-10,8867.435546875
2016-11-11,8792.4462890625
2016-11-14,8731.5205078125
2016-11-15,8642.470703125
2016-11-16,8778.38671875
2016-11-17,8773.7021484375
2016-11-18,8647.15625
2016-11-21,8483.1171875
2016-11-22,8544.046875
2016-11-23,8431.5634765625
2016-11-24,8351.888671875
2016-11-25,8403.4423828125
2016-11-28,8323.767578125
2016-11-29,8328.455078125
2016-11-30,8361.26171875
2016-12-01,8314.3935546875
2016-12-02,8155.04296875
2016-12-05,8051.93212890625
2016-12-06,8084.73876953125
2016-12-07,8080.052734375
2016-12-08,8108.17431640625
2016-12-09,8281.5849609375
2016-12-12,8436.25
2016-12-13,8529.986328125
2016-12-14,8544.046875
2016-12-15,8614.34765625
2016-12-16,8623.72265625
2016-12-19,8633.09765625
2016-12-20,8506.552734375
2016-12-21,8492.4921875
2016-12-22,8445.6240234375
2016-12-23,8539.361328125
2016-12-26,8506.552734375
2016-12-27,8558.107421875
2016-12-28,8731.5205078125
2016-12-29,8783.07421875
2017-01-02,8792.4462890625
2017-01-03,8787.7607421875
2017-01-04,8858.0634765625
2017-01-05,8881.4970703125
2017-01-06,8918.9921875
2017-01-09,8886.1845703125
2017-01-10,8759.6396484375
2017-01-11,8787.7607421875
2017-01-12,8694.025390625
2017-01-13,8769.0126953125
2017-01-16,8694.025390625
2017-01-17,8633.09765625
2017-01-18,8656.5302734375
2017-01-19,8647.15625
2017-01-20,8628.4091796875
2017-01-23,8562.794921875
2017-01-24,8506.552734375
2017-01-25,8478.431640625
2017-01-26,8548.7333984375
2017-01-31,8534.673828125
2017-02-01,8647.15625
2017-02-02,8539.361328125
2017-02-03,8520.61328125
2017-02-06,8581.5400390625
2017-02-07,8548.7333984375
2017-02-08,8548.7333984375
2017-02-09,8548.7333984375
2017-02-10,8581.5400390625
2017-02-13,8604.974609375
2017-02-14,8572.1689453125
2017-02-15,8675.2783203125
2017-02-16,8675.2783203125
2017-02-17,8694.025390625
2017-02-20,8708.0869140625
2017-02-21,8736.2060546875
2017-02-22,8745.578125
2017-02-23,8679.96484375
2017-02-24,8689.337890625
2017-02-27,8661.216796875
2017-02-28,8637.783203125
2017-03-02,8595.6015625
2017-03-03,8515.92578125
2017-03-06,8534.673828125
2017-03-07,8539.361328125
2017-03-08,8539.361328125
2017-03-09,8539.361328125
2017-03-10,8647.15625
2017-03-13,8647.15625
2017-03-14,8586.2294921875
2017-03-15,8454.9970703125
2017-03-16,8539.361328125
2017-03-17,8511.240234375
