Date,Open,Close,AdjClose
2022-02-22,9595.0,9555.0,9452.3017578125
2022-02-23,9985.0,9925.0,9818.32421875
2022-02-24,9300.0,8935.0,8838.96484375
2022-02-25,9740.0,9920.0,9813.3779296875
2022-02-28,9895.0,9920.0,9813.3779296875
2022-03-02,10195.0,10245.0,10134.884765625
2022-03-03,10440.0,10500.0,10387.14453125
2022-03-04,10290.0,10270.0,10159.6162109375
2022-03-07,9830.0,9955.0,9848.001953125
2022-03-08,9650.0,9455.0,9353.3759765625
2022-03-10,10110.0,10135.0,10026.0673828125
2022-03-11,10020.0,10075.0,9966.712890625
2022-03-14,10050.0,9920.0,9813.3779296875
2022-03-15,9530.0,9485.0,9383.0537109375
2022-03-16,10010.0,10055.0,9946.927734375
2022-03-17,10510.0,10310.0,10199.1865234375
2022-03-18,10375.0,10295.0,10184.34765625
2022-03-21,10865.0,10855.0,10738.3291015625
2022-03-22,10905.0,10905.0,10787.791015625
2022-03-23,11290.0,11305.0,11183.4921875
2022-03-24,11145.0,11200.0,11079.62109375
2022-03-25,11565.0,11605.0,11480.267578125
2022-03-28,11575.0,11590.0,11465.4287109375
2022-03-29,11960.0,11950.0,11821.5595703125
2022-03-30,12145.0,12110.0,11979.83984375
2022-03-31,11995.0,12005.0,11875.96875
2022-04-01,11705.0,11750.0,11623.708984375
2022-04-04,11680.0,11640.0,11514.8916015625
2022-04-05,12025.0,11990.0,11861.1298828125
2022-04-06,11605.0,11605.0,11480.267578125
2022-04-07,11055.0,11130.0,11010.373046875
2022-04-08,11255.0,11355.0,11232.955078125
2022-04-11,11020.0,10980.0,10861.9853515625
2022-04-12,10630.0,10580.0,10466.2841796875
2022-04-13,10560.0,10600.0,10486.0693359375
2022-04-14,10750.0,10855.0,10738.3291015625
2022-04-15,10440.0,10420.0,10308.00390625
2022-04-18,10155.0,10260.0,10149.7236328125
2022-04-19,10565.0,10620.0,10505.8544921875
2022-04-20,10850.0,10730.0,10614.6728515625
2022-04-21,10730.0,10780.0,10664.134765625
2022-04-22,10380.0,10230.0,10120.046875
2022-04-25,9720.0,9725.0,9620.474609375
2022-04-26,10110.0,10140.0,10031.013671875
2022-04-27,9575.0,9735.0,9630.3671875
2022-04-28,9810.0,10020.0,9912.3037109375
2022-04-29,10035.0,9995.0,9887.572265625
2022-05-03,9635.0,9730.0,9625.4208984375
2022-05-04,9685.0,9735.0,9630.3671875
2022-05-06,9455.0,9435.0,9333.5908203125
2022-05-10,8600.0,8780.0,8685.630859375
2022-05-11,8750.0,8860.0,8764.771484375
2022-05-12,8340.0,8330.0,8240.4677734375
2022-05-13,8425.0,8480.0,8388.85546875
2022-05-16,8880.0,8700.0,8606.4912109375
2022-05-17,8715.0,8690.0,8596.5986328125
2022-05-18,8865.0,8815.0,8720.2548828125
2022-05-19,7980.0,8090.0,8003.04736328125
2022-05-20,8015.0,8080.0,7993.15478515625
2022-05-23,8085.0,8080.0,7993.15478515625
2022-05-24,7850.0,7805.0,7721.11083984375
2022-05-25,7815.0,7820.0,7735.94970703125
2022-05-26,7895.0,7885.0,7800.2509765625
2022-05-27,8335.0,8245.0,8156.38134765625
2022-05-30,8825.0,8835.0,8740.0400390625
2022-05-31,8755.0,8635.0,8542.189453125
2022-06-02,8425.0,8610.0,8517.4580078125
2022-06-03,8945.0,8935.0,8838.96484375
2022-06-07,8705.0,8630.0,8537.2431640625
2022-06-08,8750.0,8790.0,8695.5234375
2022-06-09,8780.0,8710.0,8616.3837890625
2022-06-10,8440.0,8525.0,8433.3720703125
2022-06-13,7765.0,7660.0,7577.6689453125
2022-06-14,7450.0,7570.0,7488.63671875
2022-06-15,7500.0,7490.0,7409.49658203125
2022-06-16,7750.0,7610.0,7528.20654296875
2022-06-17,7170.0,7200.0,7122.61328125
2022-06-20,7450.0,7410.0,7330.3564453125
2022-06-21,7490.0,7550.0,7468.8515625
2022-06-22,7695.0,7550.0,7468.8515625
2022-06-23,7665.0,7755.0,7671.64794921875
2022-06-24,7935.0,8120.0,8032.72509765625
2022-06-27,8355.0,8365.0,8275.091796875
2022-06-28,8295.0,8305.0,8215.736328125
2022-06-29,7835.0,7910.0,7824.98193359375
2022-06-30,7895.0,7725.0,7641.970703125
2022-07-01,7625.0,7570.0,7488.63671875
2022-07-04,7745.0,7735.0,7651.86328125
2022-07-05,7880.0,7925.0,7839.82080078125
2022-07-06,8160.0,8085.0,7998.10107421875
2022-07-07,8270.0,8235.0,8146.48876953125
2022-07-08,8485.0,8465.0,8374.0166015625
2022-07-11,8475.0,8415.0,8324.5546875
2022-07-12,8365.0,8245.0,8156.38134765625
2022-07-13,8140.0,8155.0,8067.3486328125
2022-07-14,7970.0,8085.0,7998.10107421875
2022-07-15,8415.0,8410.0,8319.6083984375
2022-07-18,8665.0,8725.0,8631.22265625
2022-07-19,8485.0,8425.0,8334.447265625
2022-07-20,8845.0,8965.0,8868.642578125
2022-07-21,9115.0,9100.0,9002.19140625
