Date,AdjClose
1999-03-10,43.02705764770508
1999-03-11,43.237709045410156
1999-03-12,42.18442153930664
1999-03-15,43.39570617675781
1999-03-16,43.764366149902344
1999-03-17,43.44838333129883
1999-03-18,44.29100799560547
1999-03-19,43.15871047973633
1999-03-22,42.63207244873047
1999-03-23,41.131126403808594
1999-03-24,42.52674102783203
1999-03-25,44.08032989501953
1999-03-26,43.60636520385742
1999-03-29,45.186302185058594
1999-03-30,44.87031936645508
1999-03-31,44.212013244628906
1999-04-01,45.133628845214844
1999-04-05,46.76624298095703
1999-04-06,46.858402252197266
1999-04-07,46.37126159667969
1999-04-08,46.73991394042969
1999-04-09,47.029579162597656
1999-04-12,46.71357727050781
1999-04-13,46.08159255981445
1999-04-14,44.501686096191406
1999-04-15,45.10731506347656
1999-04-16,43.790687561035156
1999-04-19,41.736759185791016
1999-04-20,42.68473434448242
1999-04-21,44.79133605957031
1999-04-22,46.00260543823242
1999-04-23,46.608253479003906
1999-04-26,47.68130111694336
1999-04-27,46.95058059692383
1999-04-28,45.344303131103516
1999-04-29,44.97563171386719
1999-04-30,45.26530075073242
1999-05-03,45.02832794189453
1999-05-04,44.31732940673828
1999-05-05,45.6602897644043
1999-05-06,44.00135803222656
1999-05-07,44.633323669433594
1999-05-10,45.08097839355469
1999-05-11,45.791927337646484
1999-05-12,46.73991394042969
1999-05-13,45.870948791503906
1999-05-14,45.00198745727539
1999-05-17,45.81169891357422
1999-05-18,45.60762023925781
1999-05-19,46.23959732055664
1999-05-20,44.96907424926758
1999-05-21,44.5543327331543
1999-05-24,43.42204284667969
1999-05-25,42.000099182128906
1999-05-26,43.17188262939453
1999-05-27,43.13238525390625
1999-05-28,43.843360900878906
1999-06-01,42.869056701660156
1999-06-02,43.593196868896484
1999-06-03,42.974388122558594
1999-06-04,44.29100799560547
1999-06-07,45.212623596191406
1999-06-08,44.08032989501953
1999-06-09,44.817657470703125
1999-06-10,44.304176330566406
1999-06-11,43.63269805908203
1999-06-14,42.80979919433594
1999-06-15,43.44838333129883
1999-06-16,45.68003845214844
1999-06-17,46.18693161010742
1999-06-18,46.39760208129883
1999-06-21,47.786624908447266
1999-06-22,46.34493637084961
1999-06-23,47.075645446777344
1999-06-24,46.140846252441406
1999-06-25,46.08159255981445
1999-06-28,47.17439651489258
1999-06-29,47.81953811645508
1999-06-30,48.556846618652344
1999-07-01,48.88601303100586
1999-07-02,49.50480651855469
1999-07-06,49.18882751464844
1999-07-07,49.267818450927734
1999-07-08,49.926124572753906
1999-07-09,50.42645263671875
1999-07-12,50.163108825683594
1999-07-13,49.926124572753906
1999-07-14,50.77535629272461
1999-07-15,51.24274826049805
1999-07-16,51.71673583984375
1999-07-19,51.190086364746094
1999-07-20,49.21514892578125
1999-07-21,49.45215606689453
1999-07-22,48.19478225708008
1999-07-23,48.267189025878906
1999-07-26,47.08222961425781
1999-07-27,48.03019332885742
1999-07-28,48.97158432006836
1999-07-29,47.924869537353516
1999-07-30,47.68787384033203
1999-08-02,47.556217193603516
1999-08-03,47.24680709838867
1999-08-04,46.391014099121094
1999-08-05,47.128326416015625
1999-08-06,46.62142562866211
1999-08-09,46.022342681884766
1999-08-10,45.60762023925781
1999-08-11,47.10856246948242
1999-08-12,46.55559158325195
1999-08-13,48.58317947387695
1999-08-16,48.97158432006836
1999-08-17,49.21514892578125
1999-08-18,48.66217041015625
1999-08-19,48.08285140991211
1999-08-20,48.84651565551758
1999-08-23,50.400115966796875
1999-08-24,50.742427825927734
1999-08-25,51.82204055786133
1999-08-26,50.95966720581055
1999-08-27,50.45276641845703
1999-08-30,49.74180221557617
1999-08-31,50.29478454589844
1999-09-01,50.65686798095703
1999-09-02,50.479103088378906
1999-09-03,52.79635238647461
1999-09-07,52.55937957763672
1999-09-08,51.8484001159668
1999-09-09,52.5856819152832
1999-09-10,53.19133758544922
1999-09-13,52.55276107788086
1999-09-14,52.84242630004883
1999-09-15,51.82204055786133
1999-09-16,51.795738220214844
1999-09-17,53.349342346191406
1999-09-20,53.47441864013672
1999-09-21,52.19072723388672
1999-09-22,52.743690490722656
1999-09-23,50.55810546875
1999-09-24,50.623939514160156
1999-09-27,50.97941970825195
1999-09-28,51.2164192199707
1999-09-29,50.189453125
