,Date,Open,Close,Volume,Raw
0,2007-04-11,104.3499984741211,31.394182205200195,1900,104.3499984741211
1,2007-04-12,104.41999816894531,31.415225982666016,6100,104.41999816894531
2,2007-04-13,104.38999938964844,31.35808753967285,3400,104.2300033569336
3,2007-04-16,104.2699966430664,31.346050262451172,7600,104.19000244140625
4,2007-04-17,104.1500015258789,31.331010818481445,28100,104.13999938964844
5,2007-04-18,104.19000244140625,31.34004020690918,6300,104.16999816894531
6,2007-04-19,104.19999694824219,31.448348999023438,47500,104.52999877929688
7,2007-04-20,104.54000091552734,31.43028450012207,4900,104.47000122070312
8,2007-04-23,104.58999633789062,31.448348999023438,1700,104.52999877929688
9,2007-04-24,104.58999633789062,31.66493797302246,398500,105.25
10,2007-04-25,105.27999877929688,31.713083267211914,16300,105.41000366210938
11,2007-04-26,105.43000030517578,31.77025604248047,48200,105.5999984741211
12,2007-04-27,105.51000213623047,31.77025604248047,8300,105.5999984741211
13,2007-04-30,105.55999755859375,31.773235321044922,15500,105.61000061035156
14,2007-05-01,105.2699966430664,31.777191162109375,8600,105.33000183105469
15,2007-05-02,105.3499984741211,31.765106201171875,4700,105.29000091552734
16,2007-05-03,105.37000274658203,31.76812171936035,17200,105.30000305175781
17,2007-05-04,105.3499984741211,31.807355880737305,4600,105.43000030517578
18,2007-05-07,105.31999969482422,31.804338455200195,4200,105.41999816894531
19,2007-05-08,105.54000091552734,31.828506469726562,16100,105.5
20,2007-05-09,105.58999633789062,31.743995666503906,9400,105.22000122070312
21,2007-05-10,105.69999694824219,31.858665466308594,17400,105.5999984741211
22,2007-05-11,105.63999938964844,31.876754760742188,12200,105.66000366210938
23,2007-05-14,105.69000244140625,31.873727798461914,11600,105.6500015258789
24,2007-05-15,105.69999694824219,31.849594116210938,39400,105.56999969482422
25,2007-05-16,105.83000183105469,31.934062957763672,78100,105.8499984741211
26,2007-05-17,105.88999938964844,31.925020217895508,14500,105.81999969482422
27,2007-05-18,105.94999694824219,31.934062957763672,5200,105.8499984741211
