Date,Open,Close,Volume,Raw
2018-08-30,10005.0,9936.9599609375,10649.0,9985.0
2018-08-31,10060.0,10001.6474609375,5500.0,10050.0
2018-09-03,10070.0,9976.767578125,498.0,10025.0
2018-09-04,10045.0,10006.623046875,2340.0,10055.0
2018-09-05,10075.0,10051.40625,2707.0,10100.0
2018-09-06,10070.0,10071.310546875,972.0,10120.0
2018-09-07,10165.0,10081.2626953125,5926.0,10130.0
2018-09-10,10120.0,10091.2138671875,4203.0,10140.0
2018-09-11,10140.0,10046.4306640625,47883.0,10095.0
2018-09-12,10095.0,10051.40625,21348.0,10100.0
2018-09-13,10100.0,10001.6474609375,2096.0,10050.0
2018-09-14,10040.0,9961.83984375,4392.0,10010.0
2018-09-17,10015.0,10036.478515625,5542.0,10085.0
2018-09-18,10085.0,10001.6474609375,2181.0,10050.0
2018-09-19,10015.0,9941.935546875,16490.0,9990.0
2018-09-20,9985.0,9936.9599609375,3348.0,9985.0
2018-09-21,9975.0,9882.224609375,3361.0,9930.0
2018-09-27,9970.0,9887.2001953125,2104.0,9935.0
2018-09-28,9935.0,9847.392578125,3686.0,9895.0
2018-10-01,9890.0,9857.3447265625,12577.0,9905.0
2018-10-02,9925.0,9931.984375,888.0,9980.0
2018-10-04,9975.0,9941.935546875,1324.0,9990.0
2018-10-05,9990.0,9946.912109375,2080.0,9995.0
2018-10-08,9940.0,9946.912109375,1388.0,9995.0
2018-10-10,9970.0,9976.767578125,1527.0,10025.0
2018-10-11,10095.0,10096.1904296875,6274.0,10145.0
2018-10-12,10105.0,9991.6953125,1968.0,10040.0
2018-10-15,10090.0,10026.52734375,7504.0,10075.0
2018-10-16,10090.0,9971.791015625,2143.0,10020.0
2018-10-17,10015.0,9951.8876953125,2050.0,10000.0
2018-10-18,9990.0,10001.6474609375,1139.0,10050.0
2018-10-19,10100.0,9986.7197265625,786.0,10035.0
2018-10-22,10000.0,9936.9599609375,3795.0,9985.0
2018-10-23,10010.0,10046.4306640625,1532.0,10095.0
2018-10-24,10085.0,10006.623046875,2900.0,10055.0
2018-10-25,10120.0,10101.166015625,14985.0,10150.0
2018-10-26,10155.0,10140.9736328125,14329.0,10190.0
2018-10-29,10190.0,10165.853515625,5263.0,10215.0
2018-10-30,10210.0,10126.0458984375,7105.0,10175.0
2018-10-31,10145.0,10111.1181640625,651.0,10160.0
2018-11-01,10175.0,10086.23828125,8069.0,10135.0
2018-11-02,10055.0,9922.0322265625,15848.0,9970.0
2018-11-05,9950.0,9922.0322265625,1609.0,9970.0
2018-11-06,9960.0,9931.984375,1662.0,9980.0
2018-11-07,9955.0,9887.2001953125,3579.0,9935.0
2018-11-08,9870.0,9842.4169921875,2541.0,9890.0
2018-11-09,9905.0,9946.912109375,11062.0,9995.0
2018-11-12,10030.0,10011.5986328125,1312.0,10060.0
2018-11-13,10100.0,10011.5986328125,2494.0,10060.0
2018-11-14,10075.0,10031.5029296875,692.0,10080.0
2018-11-15,10085.0,10016.5751953125,5042.0,10065.0
2018-11-16,10095.0,10021.55078125,2115.0,10070.0
2018-11-19,10020.0,10056.3828125,3437.0,10105.0
2018-11-20,10125.0,10036.478515625,2956.0,10085.0
2018-11-21,10155.0,10076.2861328125,4273.0,10125.0
2018-11-22,10145.0,10066.333984375,2898.0,10115.0
2018-11-23,10125.0,10081.2626953125,2780.0,10130.0
2018-11-26,10080.0,10076.2861328125,820.0,10125.0
2018-11-27,10140.0,10081.2626953125,1021.0,10130.0
2018-11-28,10190.0,10006.623046875,7531.0,10055.0
2018-11-29,9970.0,10011.5986328125,2741.0,10060.0
2018-11-30,10040.0,10011.5986328125,2764.0,10060.0
2018-12-03,10025.0,9907.1044921875,15026.0,9955.0
2018-12-04,10070.0,9922.0322265625,4591.0,9970.0
2018-12-05,10035.0,10001.6474609375,2041.0,10050.0
2018-12-06,10080.0,10101.166015625,4311.0,10150.0
2018-12-07,10150.0,10076.2861328125,3447.0,10125.0
2018-12-10,10130.0,10150.92578125,3957.0,10200.0
2018-12-11,10255.0,10210.63671875,3033.0,10260.0
2018-12-12,10235.0,10145.94921875,3208.0,10195.0
2018-12-13,10195.0,10116.09375,5388.0,10165.0
2018-12-14,10175.0,10170.8291015625,1365.0,10220.0
2018-12-17,10175.0,10225.564453125,2465.0,10275.0
2018-12-18,10500.0,10235.5166015625,4141.0,10285.0
2018-12-19,10250.0,10205.6611328125,9210.0,10255.0
2018-12-20,10280.0,10240.4921875,6288.0,10290.0
2018-12-21,10190.0,10175.8056640625,9229.0,10225.0
2018-12-24,10225.0,10220.5888671875,7446.0,10270.0
2018-12-26,10300.0,10250.4443359375,3711.0,10300.0
2018-12-27,10260.0,10150.92578125,6987.0,10200.0
2018-12-28,10190.0,10145.94921875,1745.0,10195.0
2019-01-02,10200.0,10215.6123046875,21919.0,10265.0
2019-01-03,10390.0,10340.01171875,7064.0,10390.0
2019-01-04,10420.0,10340.01171875,17877.0,10390.0
2019-01-07,10430.0,10255.419921875,4951.0,10305.0
2019-01-09,10290.0,10250.4443359375,6395.0,10300.0
2019-01-10,10305.0,10225.564453125,7324.0,10275.0
2019-01-11,10215.0,10195.708984375,6170.0,10245.0
2019-01-14,10255.0,10290.251953125,1503.0,10340.0
2019-01-15,10325.0,10245.46875,6253.0,10295.0
2019-01-16,10250.0,10240.4921875,3694.0,10290.0
2019-01-17,10245.0,10260.396484375,1947.0,10310.0
2019-01-18,10275.0,10225.564453125,2707.0,10275.0
2019-01-21,10275.0,10225.564453125,3795.0,10275.0
2019-01-22,10310.0,10290.251953125,1232.0,10340.0
2019-01-23,10350.0,10270.34765625,18836.0,10320.0
2019-01-24,10345.0,10285.2763671875,20027.0,10335.0
2019-01-25,10335.0,10230.541015625,10306.0,10280.0
2019-01-28,10195.0,10180.78125,25592.0,10230.0
2019-01-29,10190.0,10165.853515625,13739.0,10215.0
2019-01-30,10230.0,10180.78125,2703.0,10230.0
2019-01-31,10230.0,10175.8056640625,6647.0,10225.0
2019-02-01,10245.0,10280.2998046875,13164.0,10330.0
2019-02-07,10250.0,10270.34765625,6687.0,10320.0
2019-02-08,10395.0,10315.1318359375,16789.0,10365.0
2019-02-11,10380.0,10325.083984375,6662.0,10375.0
2019-02-12,10385.0,10275.32421875,4009.0,10325.0
2019-02-13,10280.0,10265.3720703125,13367.0,10315.0
2019-02-14,10300.0,10265.3720703125,2546.0,10315.0
2019-02-15,10375.0,10330.0595703125,5473.0,10380.0
2019-02-18,10335.0,10320.107421875,4922.0,10370.0
2019-02-19,10335.0,10330.0595703125,7583.0,10380.0
2019-02-20,10360.0,10315.1318359375,7562.0,10365.0
2019-02-21,10325.0,10320.107421875,11379.0,10370.0
2019-02-22,10355.0,10310.1552734375,5528.0,10360.0
2019-02-25,10305.0,10280.2998046875,5677.0,10330.0
2019-02-26,10280.0,10270.34765625,4028.0,10320.0
2019-02-27,10265.0,10285.2763671875,7797.0,10335.0
2019-02-28,10310.0,10315.1318359375,17291.0,10365.0
2019-03-04,10310.0,10240.4921875,23370.0,10290.0
2019-03-05,10100.0,10275.32421875,7870.0,10325.0
2019-03-06,10325.0,10320.107421875,2846.0,10370.0
2019-03-07,10395.0,10315.1318359375,8541.0,10365.0
2019-03-08,10425.0,10449.482421875,11435.0,10500.0
2019-03-11,10500.0,10424.6025390625,10870.0,10475.0
2019-03-12,10420.0,10369.8671875,3766.0,10420.0
2019-03-13,10415.0,10424.6025390625,6753.0,10475.0
2019-03-14,10465.0,10434.5546875,2598.0,10485.0
2019-03-15,10455.0,10469.3857421875,6702.0,10520.0
2019-03-18,10520.0,10429.578125,9466.0,10480.0
2019-03-19,10450.0,10419.6259765625,15549.0,10470.0
2019-03-20,10425.0,10394.7470703125,3090.0,10445.0
2019-03-21,10435.0,10419.6259765625,7571.0,10470.0
2019-03-22,10500.0,10454.4580078125,13924.0,10505.0
2019-03-25,10550.0,10563.9287109375,57426.0,10615.0
2019-03-26,10650.0,10549.0009765625,16319.0,10600.0
