비용,A_배수,A_CAGR,B_배수,B_CAGR,B/A
0.05%,65711.35728931073,22.553757808628426,135106.19572648275,24.18404839074593,2.056055471988561
0.10%,63959.592110323814,22.493060984277612,125965.56341269532,24.02465579880586,1.9694553898251492
0.20%,60592.45524886765,22.371666427350732,109486.16958893757,23.70624540246684,1.8069274324542848
0.30%,57399.46837946508,22.2502706584353,95149.31049476773,23.388334486510164,1.657668845741572
0.50%,51501.002331381555,22.007475479725546,71831.47530759021,22.75400996076207,1.3947587824678223
