시작,종료,거래일,최저낙폭,톱니,A전환,B전환,A수익,B수익,QLD수익,BminusA
1973-03-23,1975-04-14,537,-50.786996306629774,5,2,12,4.196608291236537,1.4710712600799036,-59.31243665625521,-2.725537031156633
1978-10-27,1979-01-23,63,-20.3734290843806,1,2,4,-4.5907990439952755,3.269813856900239,8.54647892609579,7.860612900895514
1980-03-24,1980-05-07,33,-24.208358655676186,1,2,4,-6.431240159410456,1.802091933911898,9.20731825030563,8.233332093322353
1981-09-25,1981-10-08,10,-18.20261229677006,0,2,2,-5.733383967724793,5.899652859260951,12.024964678493832,11.633036826985744
1982-02-23,1982-08-25,132,-20.78587897492894,6,2,14,2.7065241323259492,-4.025437093880335,-0.7992067036543427,-6.731961226206284
1983-10-31,1984-09-17,231,-27.636113564864196,2,2,6,-0.6597519636193594,0.016665263713822043,-12.353913814786255,0.6764172273331814
1986-09-12,1986-11-26,54,-17.9770841564599,1,2,4,-3.3751669146133367,6.255542663097202,12.922761741549937,9.630709577710538
1987-10-19,1988-07-05,180,-39.93498900893317,4,2,10,-30.406705819024882,-30.47890944150595,-6.304014243966815,-0.07220362248106937
1988-07-27,1988-10-12,55,-21.32266965997851,1,2,4,-0.6612850669086789,-9.112137920674323,-6.504969959046514,-8.450852853765644
1990-01-30,1990-03-02,23,-16.525540046878064,0,2,2,-5.444740117769098,3.1503887393693475,7.816307791497912,8.595128857138445
1990-08-06,1991-01-24,120,-32.89666097977092,2,2,6,-8.835984574561895,-7.822480592627878,2.6106011741842794,1.0135039819340168
1992-04-28,1992-06-01,24,-17.23435634524896,0,2,2,-4.453706953258485,5.252327244949417,11.418388927501844,9.706034198207902
1992-06-17,1992-09-14,62,-18.525177329868626,3,2,8,-6.450147772075965,-0.7234524344675863,12.404511369313266,5.726695337608379
1997-12-23,1998-01-20,18,-18.221405492026665,1,2,4,-5.503614205757734,0.011660221759846046,9.770699291436035,5.51527442751758
1998-08-31,1998-09-14,10,-22.2083512405433,0,2,2,-17.88553468636541,-15.395714466452892,6.933265341721562,2.4898202199125183
1998-10-05,1998-10-19,11,-22.990128863693727,1,2,4,-14.570498360274243,-10.087414922338567,-0.4980398063184732,4.483083437935676
2000-04-11,2003-05-23,782,-70.20539535208405,5,2,12,8.369714026989229,-17.023578303926147,-96.3785744918822,-25.393292330915376
2006-07-14,2006-08-16,24,-17.25227567219545,1,2,4,-1.437087048871133,7.0001201058238705,12.377230367807556,8.437207154695002
2008-01-16,2008-05-06,77,-24.943023869999703,0,2,2,-6.362368731285606,3.396317608943411,3.053056655071873,9.758686340229017
2008-06-26,2009-09-02,300,-51.21299382872443,1,2,4,-3.7323263986685284,-11.38489977662218,-44.66555821403958,-7.652573377953653
2011-08-19,2011-08-26,6,-16.092676378839244,0,2,2,1.7483244978024226,13.44248153161287,14.398829747074359,11.694157033810448
2016-02-09,2016-02-17,6,-16.095665171898364,0,2,2,-0.46284926406418014,8.122333605871358,9.857554174874995,8.585182869935538
2018-12-19,2019-01-30,28,-22.799679280511732,0,2,2,3.4328746328340154,10.944015189898915,11.492747405805016,7.511140557064899
2020-03-09,2020-04-14,26,-28.555538592397156,1,2,4,-13.04886944672573,-9.996053665601945,-6.101752330677435,3.052815781123785
2022-02-22,2022-03-24,23,-21.14439761552186,1,2,4,0.9263370672045745,4.921045350531417,9.678385002525737,3.994708283326842
2022-04-14,2023-04-06,246,-35.11966688182662,4,2,10,-8.66767093706594,-16.244833225845877,-25.750558190172022,-7.577162288779936
2025-04-03,2025-05-01,20,-22.768355184633094,2,2,6,-11.632810514669934,-10.871916901234957,2.1294135912480083,0.7608936134349769
