시작,종료,일수,log기여,수익차,QQQ,구간
1973-03-27,1973-04-03,6,-0.021469164734777852,-2.1240342682534497,-2.070322525451318,6-20일
1973-04-13,1973-04-13,1,-0.007634103799680447,-0.7605038039973699,-0.32009689419498777,1-2일
1975-03-18,1975-03-19,2,-0.01726568266621778,-1.7117484904853209,-0.6694670517196188,1-2일
1975-03-24,1975-03-24,1,-0.04153333167873081,-4.068264084945083,-1.9757639620653356,1-2일
1975-03-27,1975-04-04,7,-0.011037467269767606,-1.0976777918701663,-1.2291831879460702,6-20일
1975-04-08,1975-04-14,5,0.07643591832431555,7.943301624432331,3.7568764256004084,3-5일
1978-12-07,1978-12-15,7,-0.0202062015914022,-2.0003424382422197,-0.9616195698017527,6-20일
1979-01-04,1979-01-23,14,0.09937629690017125,10.448183446233417,3.9781203381402452,6-20일
1980-04-10,1980-04-17,6,-0.02455341064179997,-2.4254427670622136,-1.9886363636363424,6-20일
1980-04-23,1980-05-07,11,0.10888749861050157,11.503690008431455,4.864154250657315,6-20일
1981-10-01,1981-10-08,6,0.11536436604908831,12.228228464443646,5.477939146280852,6-20일
1982-02-25,1982-03-03,5,-0.008627786025413559,-0.8590673489265233,-0.7969237628176695,3-5일
1982-04-05,1982-06-08,47,-0.05595626773494167,-5.441951263729972,-1.9788035953692606,21일+
1982-06-17,1982-06-17,1,-0.019936165040011194,-1.9738753753003713,-0.9274381707886192,1-2일
1982-07-01,1982-07-01,1,-0.009418197481865814,-0.9373985168928956,-0.4086398131932345,1-2일
1982-07-19,1982-07-28,8,-0.02434304185740324,-2.404913966835398,-1.0112293491680746,6-20일
1982-08-04,1982-08-05,2,-0.035432514551404684,-3.4812131831558735,-0.8465417867435154,1-2일
1982-08-23,1982-08-25,3,0.09092401995330947,9.518578982970327,2.972686602307495,3-5일
1983-11-14,1983-12-15,24,-0.02499092683375259,-2.4681238782547688,-1.7643682497121227,21일+
1983-12-26,1984-01-27,25,-0.025693874337820277,-2.5366595758206656,-0.9200331326302047,21일+
1984-08-10,1984-09-17,27,0.058471319726321025,6.021457801429331,2.4805738139756173,21일+
1986-09-22,1986-09-25,4,-0.014315271250669642,-1.4213294941293086,-1.7877533542677737,3-5일
1986-10-02,1986-11-26,40,0.10932646447689223,11.55264706677439,6.258139198379409,21일+
1988-03-09,1988-03-10,2,-0.01504331879166998,-1.4930733331543933,-1.5476715956742382,1-2일
1988-03-17,1988-03-21,3,-0.01871833153088437,-1.854423154267304,-1.2883824868264893,3-5일
1988-03-23,1988-03-23,1,-0.009803517045325782,-0.9755619222260536,-0.4277421326000508,1-2일
1988-04-12,1988-04-14,3,-0.07887745687703104,-7.584683387847102,-3.7923375902276457,3-5일
1988-06-07,1988-07-05,20,0.12440607833053052,13.247565146132768,6.753261202125049,6-20일
1988-08-01,1988-08-09,7,-0.04618477847433425,-4.513449270294911,-2.298280423280419,6-20일
1988-10-04,1988-10-12,7,-0.042724133287223326,-4.182431761360961,-1.70174144874925,6-20일
1990-02-01,1990-03-02,21,0.08600308360450706,8.980968884201568,4.183801620330452,21일+
1990-08-10,1990-08-10,1,-0.029291763491288647,-2.8866918050216683,-1.384339509862531,1-2일
1990-08-14,1990-08-16,3,-0.05369600722906473,-5.227983720557616,-2.9309392928298705,3-5일
1991-01-18,1991-01-24,5,0.09504429615703594,9.970756686629901,3.9197144140523443,3-5일
1992-04-30,1992-06-01,22,0.09574920959418798,10.048303879530106,3.6120314428636835,21일+
1992-06-30,1992-07-07,5,-0.033401425726856615,-3.284975733509654,-1.6482422069515001,3-5일
1992-07-10,1992-08-19,29,-0.03518297521396779,-3.457124943686718,-1.4925619561807046,21일+
1992-08-21,1992-08-21,1,-0.026478379257781515,-2.6130900619331765,-1.2473908324288296,1-2일
1992-08-28,1992-09-14,11,0.15647867332124105,16.938582293731574,8.522907717251416,6-20일
1997-12-30,1998-01-09,8,-0.05169307426346431,-5.03797149758578,-4.23351962021512,6-20일
